"department","class number","dept and classnumber combined","course name","description","prerequisites classes"
"COGS","175","COGS-175","The Neuropsychological Basis of Alternate States of Consciousness","This course will review the literature that correlates brain rhythms in the human EEG with aspects of cognition, behavioral states, neuropsycho-pharmacology, and psychopathology in order to understand the psychological and neurophysiological underpinnings of these experiences.","COGS 101A or COGS 107A"
"COGS","176","COGS-176","From Sleep to Attention","This course will combine an examination of the neural character of quiet and active sleep states and their potential functions with an examination of the different mechanisms by which the brain mediates attention to specific features of the world.","COGS 107A"
"COGS","177","COGS-177","Space and Time in the Brain","The course examines features of neural dynamics that map spatial and temporal relationships. Lectures will cover interval timing, mapping of item-to-observer position, mapping of observer-to-world position, and the conjunction of spatial and temporal coding in hippocampus.","none"
"COGS","178","COGS-178","Genes, Brains, and Behavior","Evidence for genetic mediation of behavioral and neural differences, mechanisms that may mediate these effects, and the roles of the environment and experience are discussed.","COGS 107A, COGS 107B"
"COGS","179","COGS-179","Electrophysiology of Cognition","Survey the theory and practice of using electrical recordings (event-related brain potentials) to study cognition and behavior including attention, language, mental chronometry, memory, and plasticity.","COGS 107A or COGS 17 or BILD 12"
"COGS","180","COGS-180","Decision-Making","This interdisciplinary course aims to unravel the complexities behind human decision-making by integrating insights from psychology, economics, neuroscience, psychiatry, design, and machine learning. We will explore everything from the cognitive biases and heuristics that shape our everyday decisions, to how decision-making is impaired in various psychiatric disorders. We will also discuss why it’s so hard to make rational decisions, and how we can use AI to improve our decision-making.","(BILD 12 or COGS 17), (BILD 62 or COGS 18 or CSE 6R or CSE 8A), COGS 14A"
"COGS","181","COGS-181","Neural Networks and Deep Learning","This course will cover the basics about neural networks, as well as recent developments in deep learning including deep belief nets, convolutional neural networks, recurrent neural networks, long-short term memory, and reinforcement learning. We will study details of the deep learning architectures with a focus on learning end-to-end models for these tasks, particularly image classification. Students may receive credit for one of the following: COGS 181, CSE 151B, or CSE 154.","(COGS 18 or CSE 11 or CSE 8B), (MATH 18 or MATH 31AH), MATH 20E, MATH 180A, (COGS 118A or COGS 118B or CSE 150 or CSE 151A or CSE 158 or ECE 174 or ECE 175A)"
"COGS","182","COGS-182","Introduction to Reinforcement Learning","This course is an introduction to reinforcement learning, the subfield of machine learning concerned with how artificial agents learn to act in the world in order to maximize reward. Topics include MDPs, policy iteration, TD learning, Q-learning, function approximation, and deep RL.","(COGS 18 or CSE 11 or CSE 8B), (MATH 18 or MATH 31AH), MATH 180A, (COGS 108 or COGS 109 or COGS 118B or CSE 150A or CSE 150B or CSE 151A or CSE 151B or CSE 158 or ECE 174 or ECE 175A)"
"COGS","183","COGS-183","Generative AI","The course will teach students about the principles of generative AI, both theory and practice. Students gain hands-on experience with some of the popular generative AI tools such as text-to-image, large language models (LLMs), and generative pre-trained transformers (GPTs), e.g., ChatGPT.","COGS 118A or COGS 118B or COGS 109"
"COGS","184","COGS-184","Modeling the Evolution of Cognition","This interdisciplinary course integrates data on evolutionary theory, hominid prehistory, primate behavior, comparative neuroanatomy, cognitive development, and collaboration. After lectures, readings, and discussion of the literature, students generate a detailed timeline of five million years of human cognitive evolution. Students may not receive credit for COGS 184 and COGS 184GS.","COGS 17 or COGS 107A or COGS 107B or COGS 107C or BILD 12"
"COGS","185","COGS-185","Advanced Machine Learning Methods","This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.","COGS 118A"
"COGS","186","COGS-186","Genetic Algorithms","This course will teach in detail some of the key biology-inspired AI algorithms. It will cover genetic algorithms (GA), particle swarm optimization algorithms (PSO), and other optimization algorithms like simulated annealing and gradient descent.","COGS 108 or COGS 109"
"COGS","187A","COGS-187A","Usability and Information Architecture","Examines the cognitive basis of successful web and multimedia design. Topics: information architecture, navigation, usability, graphic layout, transaction design, and how to understand user interaction.","(COGS 18 or CSE 11 or CSE 8A), (COGS 10 or DSGN 1)"
"COGS","187B","COGS-187B","Practicum in Professional Web Design","This course follows up on the basics of multimedia design taught in COGS 187A. Students will probe more deeply into selective topics, such as animation, navigation, graphical display of information, and narrative coherence.","COGS 187A"
"COGS","188","COGS-188","Artificial Intelligence Algorithms","This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.","COGS 109 or COGS 118A or COGS 118B"
"COGS","189","COGS-189","Brain Computer Interfaces","This course will discuss signal processing, pattern recognition algorithms, and human-computer interaction issues in EEG-based brain-computer interfaces. Other types of brain-computer interfaces will also be discussed.","COGS 108 or COGS 109 or COGS 118A or COGS 118B"
"COGS","190A","COGS-190A","Pre-Honors Project in Cognitive Science","This course prepares students for the Cognitive Science Honors Program. The aim is to refine the research project and to teach students what a successfully written proposal entails. Students may be admitted to the Honors Program contingent upon completion and progress in the course. See “Cognitive Science Honors Program” section for more information. Course should be taken for a letter grade.","none"
"COGS","190B","COGS-190B","Honors Studies in Cognitive Science","This course will allow cognitive science honors students to explore advanced issues in the field of cognitive science research. It will also provide the opportunity to develop a thesis on the topic of their choice and begin work under faculty supervision. See “Cognitive Science Honors Program” section for more information.","COGS 190A"
"COGS","190C","COGS-190C","Honors Thesis in Cognitive Science","This course will provide honors candidates an opportunity to complete the research on and preparation of an honors thesis under close faculty supervision. Oral presentation of student’s thesis is required to receive honors; additionally, student must receive grade of A– or better in 190B and 190C to receive honors. See “Cognitive Science Honors Program” section for more information.","COGS 190B"
"COGS","190D","COGS-190D","Preparation for Thesis Presentation","This course is affiliated with the honors program (190A-B-C) and is required of honors students during spring quarter. Its aim is to prepare students to present research results to an audience. Emphasis will be on the oral presentation (organization, wording, graphics), but there will also be some discussion about written research reports. Seminar style format with occasional short lectures wherein students will practice oral presentations and provide constructive criticism to each other.","COGS 190A, COGS 190B, COGS 198"
"COGS","193","COGS-193","Cognitive Science Career Seminar","This course emphasizes career readiness, with a focus on practical training in professional skills, networking, and career development. Students will be able to engage with professionals in many domains to learn how their educational breadth provides them with career advantages.","none"
"COGS","195P","COGS-195P","Pedagogy and Learning Apprenticeship","Under the supervision of an instructor, undergraduate students gain teaching experience through practical experiences in course management and effective teaching methods. P/NP grades only. May be taken for credit two times.","none"
"COGS","197","COGS-197","Cognitive Science Internship","The student will undertake a program of practical research in a supervised work environment. Topics to be researched may vary, but in each case the course will provide skills for carrying out these studies. P/NP grades only. May be taken for credit up to three times.","none"
"COGS","198","COGS-198","Directed Group Study","This independent study course is for small groups of advanced students who wish to complete a one-quarter reading or research project under the mentorship of a faculty member. Students should contact faculty whose research interests them to discuss possible projects. P/NP grades only. May be taken for credit three times.","none"
"MATH","2","MATH-2","Introduction to College Mathematics","A highly adaptive course designed to build on students’ strengths while increasing overall mathematical understanding and skill. This multi-modality course will focus on several topics of study designed to develop conceptual understanding and mathematical relevance: linear relationships; exponents and polynomials; rational expressions and equations; models of quadratic and polynomial functions and radical equations; exponential and logarithmic functions; and geometry and trigonometry. Workload credit only—not for baccalaureate credit. Must be taken for P/NP grading. May be repeated nine times for credit.","none"
"MATH","3B","MATH-3B","Foundations of Precalculus","Introduction to functions and their properties. Polynomial and rational functions. Exponential and logarithmic functions. Trigonometric functions and their properties.","none"
"MATH","3C","MATH-3C","Precalculus","Functions and their graphs. Linear and polynomial functions, zeroes, inverse functions, exponential and logarithmic, trigonometric functions and their inverses. Emphasis on understanding algebraic, numerical, and graphical. (No credit given if taken after MATH 4C, 10A, or 20A.)","MATH 3B"
"MATH","4C","MATH-4C","Precalculus for Science and Engineering","Review of polynomials. Graphing functions and relations: graphing rational functions, effects of linear changes of coordinates. Circular functions and right triangle trigonometry. Reinforcement of function concept: exponential, logarithmic, and trigonometric functions. Vectors. Conic sections. Polar coordinates. (No credit given if taken after MATH 1A/10A or 2A/20A. Two units of credit given if taken after MATH 3C.) Three or more years of high school mathematics or equivalent recommended.","MATH 3C"
"MATH","10A","MATH-10A","Calculus I","Differential calculus of functions of one variable, with applications. Functions, graphs, continuity, limits, derivatives, tangent lines, optimization problems. (No credit given if taken after or concurrent with MATH 20A.)","MATH 3C or MATH 4C"
"MATH","10B","MATH-10B","Calculus II","Integral calculus of functions of one variable, with applications. Antiderivatives, definite integrals, the Fundamental Theorem of Calculus, methods of integration, areas and volumes, separable differential equations. (No credit given if taken after or concurrent with MATH 20B.)","MATH 10A or MATH 20A"
"MATH","10C","MATH-10C","Calculus III","Introduction to functions of more than one variable. Vector geometry, partial derivatives, velocity and acceleration vectors, optimization problems. (No credit given if taken after or concurrent with 20C.)","MATH 10B or MATH 20B"
"MATH","11","MATH-11","Calculus-Based Introductory Probability and Statistics","Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis.","MATH 10B or MATH 20B"
"MATH","18","MATH-18","Linear Algebra","Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH.","MATH 4C or MATH 10A or MATH 20A"
"MATH","20A","MATH-20A","Calculus for Science and Engineering","Foundations of differential and integral calculus of one variable. Functions, graphs, continuity, limits, derivative, tangent line. Applications with algebraic, exponential, logarithmic, and trigonometric functions. Introduction to the integral. (Two credits given if taken after MATH 10A and no credit given if taken after MATH 10B or MATH 10C.)","MATH 4C or MATH 10A"
"MATH","20B","MATH-20B","Calculus for Science and Engineering","Integral calculus of one variable and its applications, with exponential, logarithmic, hyperbolic, and trigonometric functions. Methods of integration. Infinite series. Polar coordinates in the plane and complex exponentials. (Two units of credits given if taken after MATH 1B/10B or MATH 1C/10C.)","MATH 20A or MATH 10B or MATH 10C"
"MATH","20C","MATH-20C","Calculus and Analytic Geometry for Science and Engineering","Vector geometry, vector functions and their derivatives. Partial differentiation. Maxima and minima. Double integration. (Two units of credit given if taken after MATH 10C. Credit not offered for both MATH 20C and 31BH. Formerly numbered MATH 21C.)","MATH 20B"
"MATH","20D","MATH-20D","Introduction to Differential Equations","Ordinary differential equations: exact, separable, and linear; constant coefficients, undetermined coefficients, variations of parameters. Systems. Series solutions. Laplace transforms. Techniques for engineering sciences. Computing symbolic and graphical solutions using MATLAB.","(MATH 20C or MATH 31BH), (MATH 18 or MATH 31AH)"
"MATH","20E","MATH-20E","Vector Calculus","Change of variable in multiple integrals, Jacobian, Line integrals, Green’s theorem. Vector fields, gradient fields, divergence, curl. Spherical/cylindrical coordinates. Taylor series in several variables. Surface integrals, Stoke’s theorem. Gauss’ theorem. Conservative fields.","(MATH 18 or MATH 20F or MATH 31AH), (MATH 20C or MATH 21C or MATH 31BH)"
"MATH","31AH","MATH-31AH","Honors Linear Algebra","First quarter of a very rigorous three-quarter honors integrated linear algebra/multivariable calculus sequence for extremely well-prepared students. Topics include real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both MATH 31AH and 18.)","MATH 20A, MATH 20B"
"MATH","31BH","MATH-31BH","Honors Multivariable Calculus","Second quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include derivative in several variables, Jacobian matrices, extrema and constrained extrema, integration in several variables. (Credit not offered for both MATH 31BH and 20C.)","MATH 31AH"
"MATH","31CH","MATH-31CH","Honors Vector Calculus","Third quarter of honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include change of variables formula, integration of differential forms, exterior derivative, generalized Stoke’s theorem, conservative vector fields, potentials.","MATH 31BH"
"MATH","87","MATH-87","First-year Student Seminar","The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.","none"
"MATH","88","MATH-88","Learning Sustainable Well-Being: Compassion for Self and Others, a Mathematician’s Perspective","This experiential course teaches the art of practicing psychological well-being, based on Eastern and Western approaches (e.g., mindfulness, positive psychology, cognitive therapy, neuroscience, theatre and art), from the perspective of a mathematician. Each week, there is a short lecture on a given topic, combined with workshop-style exercises. Open to all undergraduate students.","none"
"MATH","95","MATH-95","Introduction to Teaching Math","Revisit students’ learning difficulties in mathematics in more depth to prepare students to make meaningful observations of how K–12 teachers deal with these difficulties. Explore how instruction can use students’ knowledge to pose problems that stimulate students’ intellectual curiosity.","none"
"MATH","96","MATH-96","Putnam Seminar","Students will develop skills in analytical thinking as they solve and present solutions to challenging mathematical problems in preparation for the William Lowell Putnam Mathematics Competition, a national undergraduate mathematics examination held each year. Students must sit for at least one half of the Putnam exam (given the first Saturday in December) to receive a passing grade. P/NP grades only. May be repeated for credit up to four times.","MATH 20A"
"MATH","99R","MATH-99R","Independent Study","Independent study or research under direction of a member of the faculty.","none"
"MATH","100A","MATH-100A","Abstract Algebra I","First course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include groups, subgroups and factor groups, homomorphisms, rings, fields. (Students may not receive credit for both MATH 100A and MATH 103A.)","MATH 31CH or MATH 109"
"MATH","100B","MATH-100B","Abstract Algebra II","Second course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include rings (especially polynomial rings) and ideals, unique factorization, fields; linear algebra from perspective of linear transformations on vector spaces, including inner product spaces, determinants, diagonalization. (Students may not receive credit for both MATH 100B and MATH 103B.)","MATH 100A"
"MATH","100C","MATH-100C","Abstract Algebra III","Third course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include linear transformations, including Jordan canonical form and rational canonical form; Galois theory, including the insolvability of the quintic.","MATH 100B"
"MATH","102","MATH-102","Applied Linear Algebra","Second course in linear algebra from a computational yet geometric point of view. Elementary Hermitian matrices, Schur’s theorem, normal matrices, and quadratic forms. Moore-Penrose generalized inverse and least square problems. Vector and matrix norms. Characteristic and singular values. Canonical forms. Determinants and multilinear algebra.","(MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","103A","MATH-103A","Modern Algebra I","First course in a two-quarter introduction to abstract algebra with some applications. Emphasis on group theory. Topics include definitions and basic properties of groups, properties of isomorphisms, subgroups. (Students may not receive credit for both MATH 100A and MATH 103A.)","MATH 31CH or MATH 109"
"MATH","103B","MATH-103B","Modern Algebra II","Second course in a two-quarter introduction to abstract algebra with some applications. Emphasis on rings and fields. Topics include definitions and basic properties of rings, fields, and ideals, homomorphisms, irreducibility of polynomials. (Students may not receive credit for both MATH 100B and MATH 103B.)","MATH 103A or MATH 100A"
"MATH","104A","MATH-104A","Number Theory I","Elementary number theory with applications. Topics include unique factorization, irrational numbers, residue systems, congruences, primitive roots, reciprocity laws, quadratic forms, arithmetic functions, partitions, Diophantine equations, distribution of primes. Applications include fast Fourier transform, signal processing, codes, cryptography.","MATH 100B or MATH 103B"
"MATH","104B","MATH-104B","Number Theory II","Topics in number theory such as finite fields, continued fractions, Diophantine equations, character sums, zeta and theta functions, prime number theorem, algebraic integers, quadratic and cyclotomic fields, prime ideal theory, class number, quadratic forms, units, Diophantine approximation, p-adic numbers, elliptic curves.","MATH 104A"
"MATH","105","MATH-105","Basic Number Theory","The course will cover the basic arithmetic properties of the integers, with applications to Diophantine equations and elementary Diophantine approximation theory.","MATH 31CH or MATH 109"
"MATH","106","MATH-106","Introduction to Algebraic Geometry","Plane curves, Bezout’s theorem, singularities of plane curves. Affine and projective spaces, affine and projective varieties. Examples of all the above. Instructor may choose to include some commutative algebra or some computational examples.","MATH 100B or MATH 103B"
"MATH","109","MATH-109","Mathematical Reasoning","This course uses a variety of topics in mathematics to introduce the students to rigorous mathematical proof, emphasizing quantifiers, induction, negation, proof by contradiction, naive set theory, equivalence relations and epsilon-delta proofs. Required of all departmental majors.","(MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","110","MATH-110","Introduction to Partial Differential Equations","An introduction to partial differential equations focusing on equations in two variables. Topics include the heat and wave equation on an interval, Laplace’s equation on rectangular and circular domains, separation of variables, boundary conditions and eigenfunctions, introduction to Fourier series, software methods for solving equations. Formerly MATH 110A. (Students may not receive credit for MATH 110 and MATH 110A.)","(MATH 18 or MATH 20F or MATH 31AH), MATH 20D, (MATH 20E or MATH 31CH)"
"MATH","111A","MATH-111A","Mathematical Modeling I","An introduction to mathematical modeling in the physical and social sciences. Topics vary, but have included mathematical models for epidemics, chemical reactions, political organizations, magnets, economic mobility, and geographical distributions of species. May be taken for credit two times when topics change.","MATH 20D, (MATH 18 or MATH 20F or MATH 31AH), (MATH 109 or MATH 31CH)"
"MATH","111B","MATH-111B","Mathematical Modeling II","Continued study on mathematical modeling in the physical and social sciences, using advanced techniques that will expand upon the topics selected and further the mathematical theory presented in MATH 111A.","MATH 111A"
"MATH","112A","MATH-112A","Introduction to Mathematical Biology I","Part one of a two-course introduction to the use of mathematical theory and techniques in analyzing biological problems. Topics include differential equations, dynamical systems, and probability theory applied to a selection of biological problems from population dynamics, biochemical reactions, biological oscillators, gene regulation, molecular interactions, and cellular function. May be coscheduled with MATH 212A. Recommended preparation: MATH 130 and MATH 180A.","(MATH 11 or MATH 180A or MATH 183 or MATH 186), (MATH 18 or MATH 31AH), MATH 20D, BILD 1"
"MATH","112B","MATH-112B","Introduction to Mathematical Biology II","Part two of an introduction to the use of mathematical theory and techniques in analyzing biological problems. Topics include partial differential equations and stochastic processes applied to a selection of biological problems, especially those involving spatial movement, such as molecular diffusion, bacterial chemotaxis, tumor growth, and biological patterns. May be coscheduled with MATH 212B. Recommended preparation: MATH 180B.","MATH 112A, MATH 110, MATH 180A"
"MATH","114","MATH-114","Introduction to Computational Stochastics","Topics include random number generators, variance reduction, Monte Carlo (including Markov Chain Monte Carlo) simulation, and numerical methods for stochastic differential equations. Methods will be illustrated on applications in biology, physics, and finance. May be coscheduled with MATH 214. Recommended preparation: CSE 5A, CSE 8A, CSE 11, or ECE 15. Students should complete a computer programming course before enrolling in MATH 114.","MATH 180A"
"MATH","120A","MATH-120A","Elements of Complex Analysis","Complex numbers and functions. Analytic functions, harmonic functions, elementary conformal mappings. Complex integration. Power series. Cauchy’s theorem. Cauchy’s formula. Residue theorem.","MATH 20E or MATH 31CH"
"MATH","120B","MATH-120B","Applied Complex Analysis","Applications of the residue theorem. Conformal mapping and applications to potential theory, flows, and temperature distributions. Fourier transformations. Laplace transformations, and applications to integral and differential equations. Selected topics such as Poisson’s formula, Dirichlet’s problem, Neumann’s problem, or special functions.","MATH 120A"
"MATH","121A","MATH-121A","Foundations of Teaching and Learning Mathematics I","Develop teachers’ knowledge base (knowledge of mathematics content, pedagogy, and student learning) in the context of advanced mathematics. This course builds on the previous courses where these components of knowledge were addressed exclusively in the context of high-school mathematics.","(EDS 30 or MATH 95), (MATH 31CH or MATH 109)"
"MATH","121B","MATH-121B","Foundations of Teaching and Learning Math II","Examine how learning theories can consolidate observations about conceptual development with the individual student as well as the development of knowledge in the history of mathematics. Examine how teaching theories explain the effect of teaching approaches addressed in the previous courses.","MATH 121A"
"MATH","130","MATH-130","Differential Equations and Dynamical Systems","An introduction to ordinary differential equations from the dynamical systems perspective. Topics include flows on lines and circles, two-dimensional linear systems and phase portraits, nonlinear planar systems, index theory, limit cycles, bifurcation theory, applications to biology, physics, and electrical engineering. Formerly MATH 130A. (Students may not receive credit for MATH 130 and MATH 130A.)","(MATH 18 or MATH 20F or MATH 31AH), MATH 20D"
"MATH","140A","MATH-140A","Foundations of Real Analysis I","First course in a rigorous three-quarter sequence on real analysis. Topics include the real number system, basic topology, numerical sequences and series, continuity. (Students may not receive credit for both MATH 140A and MATH 142A.)","MATH 31CH or MATH 109"
"MATH","140B","MATH-140B","Foundations of Real Analysis II","Second course in a rigorous three-quarter sequence on real analysis. Topics include differentiation, the Riemann-Stieltjes integral, sequences and series of functions, power series, Fourier series, and special functions. (Students may not receive credit for both MATH 140B and MATH 142B.)","MATH 140A"
"MATH","140C","MATH-140C","Foundations of Real Analysis III","Third course in a rigorous three-quarter sequence on real analysis. Topics include differentiation of functions of several real variables, the implicit and inverse function theorems, the Lebesgue integral, infinite-dimensional normed spaces.","MATH 140B"
"MATH","142A","MATH-142A","Introduction to Analysis I","First course in an introductory two-quarter sequence on analysis. Topics include the real number system, numerical sequences and series, infinite limits, limits of functions, continuity, differentiation. Students may not receive credit for MATH 142A if taken after or concurrently with MATH 140A.","MATH 31CH or MATH 109"
"MATH","142B","MATH-142B","Introduction to Analysis II","Second course in an introductory two-quarter sequence on analysis. Topics include the Riemann integral, sequences and series of functions, uniform convergence, Taylor series, introduction to analysis in several variables. Students may not receive credit for MATH 142B if taken after or concurrently with MATH 140B.","MATH 142A or MATH 140A"
"MATH","144","MATH-144","Introduction to Fourier Analysis","Rigorous introduction to the theory of Fourier series and Fourier transforms. Topics include basic properties of Fourier series, mean square and pointwise convergence, Hilbert spaces, applications of Fourier series, the Fourier transform on the real line, inversion formula, Plancherel formula, Poisson summation formula, Heisenberg uncertainty principle, applications of the Fourier transform.","MATH 140B or MATH 142B"
"MATH","146","MATH-146","Analysis of Ordinary Differential Equations","A rigorous introduction to systems of ordinary differential equations. Topics include linear systems, matrix diagonalization and canonical forms, matrix exponentials, nonlinear systems, existence and uniqueness of solutions, linearization, and stability.","MATH 140B or MATH 142B"
"MATH","148","MATH-148","Analysis of Partial Differential Equations","A rigorous introduction to partial differential equations. Topics include initial and boundary value problems; first order linear and quasilinear equations, method of characteristics; wave and heat equations on the line, half-line, and in space; separation of variables for heat and wave equations on an interval and for Laplace’s equation on rectangles and discs; eigenfunctions of the Laplacian and heat, wave, Poisson’s equations on bounded domains; and Green’s functions and distributions.","MATH 140B or MATH 142B"
"MATH","150A","MATH-150A","Differential Geometry","Differential geometry of curves and surfaces. Gauss and mean curvatures, geodesics, parallel displacement, Gauss-Bonnet theorem.","(MATH 20E or MATH 31CH), (MATH 18 or MATH 20F or MATH 31AH)"
"MATH","150B","MATH-150B","Calculus on Manifolds","Calculus of functions of several variables, inverse function theorem. Further topics may include exterior differential forms, Stokes’ theorem, manifolds, Sard’s theorem, elements of differential topology, singularities of maps, catastrophes, further topics in differential geometry, topics in geometry of physics.","MATH 150A"
"MATH","152","MATH-152","Applicable Mathematics and Computing","This course will give students experience in applying theory to real world applications such as internet and wireless communication problems. The course will incorporate talks by experts from industry and students will be helped to carry out independent projects. Topics include graph visualization, labelling, and embeddings, random graphs and randomized algorithms. May be taken for credit three times.","MATH 20D, (MATH 18 or MATH 20F or MATH 31AH)"
"MATH","153","MATH-153","Geometry for Secondary Teachers","Two- and three-dimensional Euclidean geometry is developed from one set of axioms. Pedagogical issues will emerge from the mathematics and be addressed using current research in teaching and learning geometry. This course is designed for prospective secondary school mathematics teachers.","MATH 109 or MATH 31CH"
"MATH","154","MATH-154","Discrete Mathematics and Graph Theory","Basic concepts in graph theory, including trees, walks, paths, and connectivity, cycles, matching theory, vertex and edge-coloring, planar graphs, flows and combinatorial algorithms, covering Hall’s theorems, the max-flow min-cut theorem, Euler’s formula, and the travelling salesman problem. Credit not offered for MATH 154 if MATH 158 is previously taken. If MATH 154 and MATH 158 are concurrently taken, credit is only offered for MATH 158.","MATH 31CH or MATH 109"
"MATH","155A","MATH-155A","Geometric Computer Graphics","Bezier curves and control lines, de Casteljau construction for subdivision, elevation of degree, control points of Hermite curves, barycentric coordinates, rational curves. Programming knowledge recommended. (Students may not receive credit for both MATH 155A and CSE 167 or CSE 167R.)","(MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","155B","MATH-155B","Topics in Computer Graphics","Spline curves, NURBS, knot insertion, spline interpolation, illumination models, radiosity, and ray tracing.","MATH 155A"
"MATH","157","MATH-157","Introduction to Mathematical Software","This course provides a hands-on introduction to the use of a variety of open-source mathematical software packages, as applied to a diverse range of topics within pure and applied mathematics. Most of these packages are built on the Python programming language, but experience with another common programming language is acceptable. All software will be accessed using the CoCalc web platform (http://cocalc.com), which provides a uniform interface through any web browser. Students will need to bring a laptop or tablet to lectures in order to participate in interactive presentations. Students should have exposure to one of the following programming languages: C, C++, Java, Python, R.","(MATH 18 or MATH 20F or MATH 31AH), (BILD 62 or COGS 18 or CSE 5A or CSE 6R or CSE 8A or CSE 11 or DSC 10 or ECE 15 or ECE 143 or MATH 189)"
"MATH","158","MATH-158","Extremal Combinatorics and Graph Theory","Extremal combinatorics is the study of how large or small a finite set can be under combinatorial restrictions. We will give an introduction to graph theory, connectivity, coloring, factors, and matchings, extremal graph theory, Ramsey theory, extremal set theory, and an introduction to probabilistic combinatorics. Topics include Turan’s theorem, Ramsey’s theorem, Dilworth’s theorem, and Sperner’s theorem. Credit not offered for MATH 158 if MATH 154 was previously taken. If MATH 154 and MATH 158 are concurrently taken, credit is only offered for MATH 158. A strong performance in MATH 109 or MATH 31CH is recommended.","MATH 31CH or MATH 109"
"MATH","160A","MATH-160A","Elementary Mathematical Logic I","An introduction to recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi.","MATH 100A or MATH 103A or MATH 140A"
"MATH","160B","MATH-160B","Elementary Mathematical Logic II","A continuation of recursion theory, set theory, proof theory, model theory. Turing machines. Undecidability of arithmetic and predicate logic. Proof by induction and definition by recursion. Cardinal and ordinal numbers. Completeness and compactness theorems for propositional and predicate calculi.","MATH 160A"
"MATH","163","MATH-163","History of Mathematics","Topics will vary from year to year in areas of mathematics and their development. Topics may include the evolution of mathematics from the Babylonian period to the eighteenth century using original sources, a history of the foundations of mathematics and the development of modern mathematics.","MATH 20B"
"MATH","168A","MATH-168A","Topics in Applied Mathematics—Computer Science","Topics to be chosen in areas of applied mathematics and mathematical aspects of computer science. May be taken for credit two times with different topics.","(MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","170A","MATH-170A","Introduction to Numerical Analysis: Linear Algebra","This course covers analysis of numerical methods for linear algebraic systems and least squares problems. Topics include orthogonalization methods. Ill conditioned problems. Eigenvalue and singular value computations. Knowledge of programming recommended.","(MATH 18 or MATH 31AH), (MATH 20C or MATH 31BH), (CSE 20 or MATH 15A or MATH 31CH or MATH 109)"
"MATH","170B","MATH-170B","Introduction to Numerical Analysis: Approximation and Nonlinear Equations","Rounding and discretization errors. Calculation of roots of polynomials and nonlinear equations. Interpolation. Approximation of functions. Knowledge of programming recommended.","MATH 170A"
"MATH","170C","MATH-170C","Introduction to Numerical Analysis: Ordinary Differential Equations","Numerical differentiation and integration. Ordinary differential equations and their numerical solution. Basic existence and stability theory. Difference equations. Boundary value problems.","(MATH 20D or MATH 21D), MATH 170B"
"MATH","171A","MATH-171A","Introduction to Numerical Optimization: Linear Programming","Linear optimization and applications. Linear programming, the simplex method, duality. Selected topics from integer programming, network flows, transportation problems, inventory problems, and other applications. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both MATH 171A and ECON 172A.)","(MATH 18 or MATH 20F or MATH 31AH), MATH 20C"
"MATH","171B","MATH-171B","Introduction to Numerical Optimization: Nonlinear Programming","Convergence of sequences in Rn, multivariate Taylor series. Bisection and related methods for nonlinear equations in one variable. Newton’s methods for nonlinear equations in one and many variables. Unconstrained optimization and Newton’s method. Equality-constrained optimization, Kuhn-Tucker theorem. Inequality-constrained optimization. Three lectures, one recitation. Knowledge of programming recommended. (Credit not allowed for both MATH 171B and ECON 172B.)","(MATH 20C or MATH 31BH), MATH 171A"
